manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
