manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan
