manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize
volkswagen,jetta,2,2008,4,auto(s6),f,22,29,p,compact
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
