manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
