manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact
toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact
