manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
