manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
