manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
