manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
toyota,toyota tacoma 4wd,4,2008,6,auto(l5),4,16,20,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv
