manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
