manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
