manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
