manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
chevrolet,corvette,7,2008,8,manual(m6),r,15,24,p,2seater
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
