manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv
dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
