manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
hyundai,tiburon,2,2008,4,auto(l4),f,20,27,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
