manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
