manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
