manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact
volkswagen,jetta,2,2008,4,auto(s6),f,22,29,p,compact
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
