manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
