manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
