manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
