manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
volkswagen,jetta,2,1999,4,auto(l4),f,19,26,r,compact
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
