manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize
