manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact
