manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
nissan,pathfinder 4wd,3.3,1999,6,manual(m5),4,15,17,r,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
volkswagen,jetta,2,1999,4,auto(l4),f,19,26,r,compact
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
