manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
