manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
