manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
