manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
volkswagen,jetta,2,2008,4,auto(s6),f,22,29,p,compact
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
