manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
