manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
