manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact
