manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
