manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
hyundai,tiburon,2,2008,4,manual(m5),f,20,28,r,subcompact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
