manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
