manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
