manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
