manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
