manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
