manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact
nissan,pathfinder 4wd,3.3,1999,6,manual(m5),4,15,17,r,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
