manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
toyota,toyota tacoma 4wd,4,2008,6,auto(l5),4,16,20,r,pickup
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
