manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
