manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
