manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
