manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
toyota,camry solara,2.2,1999,4,auto(l4),f,21,27,r,compact
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
