manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
