manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
