manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact
hyundai,tiburon,2,2008,4,manual(m5),f,20,28,r,subcompact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
