manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
hyundai,tiburon,2,2008,4,auto(l4),f,20,27,r,subcompact
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
