manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv
chevrolet,corvette,7,2008,8,manual(m6),r,15,24,p,2seater
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
