manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact
hyundai,tiburon,2,2008,4,auto(l4),f,20,27,r,subcompact
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
