manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv
chevrolet,corvette,7,2008,8,manual(m6),r,15,24,p,2seater
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
